,tweet_id,retweet_count,favorite_count
420,820314633777061888,548,3285
421,820078625395449857,6113,19401
422,820013781606658049,1138,0
423,819952236453363712,1138,5217
424,819924195358416896,4750,12677
425,819711362133872643,3028,13116
426,819588359383371776,1943,9469
427,819347104292290561,1173,7091
428,819238181065359361,398,2212
429,819227688460238848,6517,22609
430,819015337530290176,36063,0
431,819015331746349057,18559,0
432,819006400881917954,18559,44534
433,819004803107983360,36063,85478
434,818646164899774465,20365,0
435,818627210458333184,7355,21992
436,818614493328580609,2464,9646
437,818588835076603904,5958,0
438,818536468981415936,2385,10651
439,818307523543449600,7839,0
440,818259473185828864,2194,10799
441,818145370475810820,2484,12043
442,817908911860748288,775,4764
443,817827839487737858,26354,50572
444,817777686764523521,2610,10552
445,817536400337801217,2870,11553
446,817502432452313088,3303,0
447,817423860136083457,14262,33125
448,817415592588222464,925,5495
449,817181837579653120,8219,0
450,817171292965273600,1973,8603
451,817120970343411712,2526,11981
452,817056546584727552,1597,8438
453,816829038950027264,4592,0
454,816816676327063552,1977,9815
455,816697700272001025,2136,9601
456,816450570814898180,7839,29819
457,816336735214911488,1896,8448
458,816091915477250048,2081,8772
459,816062466425819140,987,0
460,816014286006976512,5120,0
461,815990720817401858,987,4852
462,815966073409433600,8219,21965
463,815745968457060357,4030,0
464,815736392542261248,2212,9675
465,815639385530101762,1609,8080
466,815390420867969024,3719,10160
467,814986499976527872,1244,7530
468,814638523311648768,2637,11086
469,814578408554463233,5693,0
470,814530161257443328,1822,8490
471,814153002265309185,8459,28235
472,813944609378369540,3112,0
473,813910438903693312,1816,9166
474,813812741911748608,13641,35863
475,813800681631023104,1712,8190
476,813217897535406080,7138,18331
477,813202720496779264,1777,9089
478,813187593374461952,4244,19535
479,813172488309972993,1889,9122
480,813157409116065792,2150,7637
481,813142292504645637,2337,8363
482,813130366689148928,434,4423
483,813127251579564032,3040,11607
484,813112105746448384,2670,10131
485,813096984823349248,3541,10403
486,813081950185472002,2724,9752
487,813066809284972545,1905,7801
488,813051746834595840,7189,20604
489,812781120811126785,1862,7425
490,812709060537683968,1409,6512
491,812503143955202048,1191,5963
492,812466873996607488,1883,7847
493,812372279581671427,3583,13443
494,811985624773361665,1370,7151
495,811744202451197953,1552,7415
496,811647686436880384,721,5521
497,811627233043480576,2995,12533
498,811386762094317568,6245,20591
499,810984652412424192,1394,5227
500,810896069567610880,1723,8861
501,810657578271330305,2572,10793
502,810284430598270976,10988,34630
503,810254108431155201,3305,14481
504,809920764300447744,3856,15323
505,809808892968534016,4795,0
506,809448704142938112,1431,6845
507,809220051211603969,5468,19599
508,809084759137812480,3455,13025
509,808838249661788160,2978,9973
510,808733504066486276,2114,7777
511,808501579447930884,2553,11131
512,808344865868283904,20365,41811
513,808134635716833280,5786,0
514,808106460588765185,2159,8676
515,808001312164028416,3465,12330
516,807621403335917568,3539,14380
517,807106840509214720,54138,116230
518,807059379405148160,7174,0
519,807010152071229440,3788,12923
520,806629075125202948,33878,73417
521,806620845233815552,5413,0
522,806576416489959424,1918,4817
523,806542213899489280,2310,10065
524,806242860592926720,11378,0
525,806219024703037440,1172,6364
526,805958939288408065,5256,0
527,805932879469572096,1885,8176
528,805826884734976000,1781,6474
529,805823200554876929,7833,0
530,805520635690676224,1624,5669
531,805487436403003392,2477,8681
532,805207613751304193,1687,7725
533,804738756058218496,3745,13487
534,804475857670639616,1972,6052
535,804413760345620481,3165,0
536,804026241225523202,15783,43758
537,803773340896923648,2688,9917
